questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
PA-006,gdlLicensing,PA,57,76,19,"How many passengers can a Pennsylvania junior driver carry in first 6 months?","No limit","No more passengers than seat belts and no more than 1 under 18 unless family","2 passengers","Only family members",B
TX-030,insurance,TX,57,69,12,"What happens if you drive without insurance in Texas?","Warning only","Fines up to 350 first plus surcharges and possible license suspension","Points only","Small fine",B
TX-040,stateUnique,TX,57,78,21,"What should Texas drivers know about frontage roads?","They do not exist","Frontage roads run parallel to highways with unique entrance and exit patterns","Same as regular roads","Only in Houston",B
UT-038,stateUnique,UT,57,72,15,"What should Utah drivers know about inversions?","Not applicable","Winter inversions can reduce visibility and create hazardous air quality","Only in summer","Only in valleys",B
WA-037,stateUnique,WA,57,75,18,"What should Washington drivers know about ferries?","No ferry system","Washington State Ferries are part of the highway system with specific rules","Private boats only","Only to islands",B
WA-006,gdlLicensing,WA,56,75,19,"How many passengers can a Washington intermediate driver carry?","No limit","No passengers under 20 for first 6 months then 3 until age 18 unless family","2 passengers","Only family members",B
ND-038,stateUnique,ND,55,74,19,"What is unique about North Dakota oil field areas?","No oil fields","Increased heavy truck traffic and road conditions in oil-producing regions","Lower speed limits","No special concerns",B
SC-034,stateUnique,SC,55,78,23,"What should South Carolina drivers know about hurricanes?","Not applicable","Hurricane evacuations and emergency procedures are important for coastal areas","Only coastal areas","Inland areas unaffected",B
WV-034,stateUnique,WV,55,73,18,"What should West Virginia drivers know about mountain roads?","No mountains","Steep grades curves and weather changes are common in Appalachian terrain","Same as flat roads","Chains required",B
WY-037,stateUnique,WY,55,72,17,"What should Wyoming drivers watch for in rural areas?","Nothing special","Wildlife including elk deer antelope and moose plus open range livestock","Only near parks","Only in mountains",B
ME-040,stateUnique,ME,54,72,18,"What should Maine drivers know about coastal fog?","It is rare","Dense coastal fog can reduce visibility suddenly requiring reduced speed","Only in summer","Only early morning",B
WV-006,gdlLicensing,WV,54,73,19,"How many passengers can a West Virginia intermediate driver carry in first 6 months?","No limit","No more passengers than seat belts and only 1 under 20 for first 6 months","2 passengers","Only family members",B
MO-016,cellPhone,MO,53,69,16,"What cities in Missouri have stricter cell phone laws?","None","Many including St. Louis and Kansas City have hands-free requirements","Only St. Louis","Only rural areas",B
ND-034,stateUnique,ND,53,68,15,"What should North Dakota drivers know about winter driving?","Mild winters","Severe winters with blizzards and extreme cold requiring preparation","Snow is rare","Chains required",B
OH-030,insurance,OH,53,65,12,"What happens if you drive without insurance in Ohio?","Warning only","License suspension registration suspension and reinstatement fees","Points only","Small fine",B
RI-034,stateUnique,RI,53,73,20,"What should Rhode Island drivers know about traffic congestion?","Not a concern","Small state with high density and congestion especially around Providence","Always light traffic","No rush hour",B
VA-037,stateUnique,VA,53,71,18,"What should Virginia drivers know about toll roads?","No toll roads","Express lanes and toll roads are common especially in Northern Virginia","Cash only","Free for residents",B
MA-023,duiStateLaws,MA,52,69,17,"What happens if you refuse a BAC test in Massachusetts?","Warning only","License suspension ranging from 180 days to lifetime based on history","30 day suspension","Same as passing",B
TN-037,stateUnique,TN,51,70,19,"What should Tennessee drivers know about Nashville and Memphis traffic?","Light traffic","Major metro areas have significant congestion especially during events","No traffic concerns","Always light",B
MN-035,stateUnique,MN,50,72,22,"What is Minnesota law regarding school buses?","Stop only on same side","Stop in both directions unless separated by median or four or more lanes","Slow to 20 mph","Stop only if signaled",B
MD-038,stateUnique,MD,49,70,21,"What should Maryland drivers know about bay bridges?","They do not exist","The Chesapeake Bay Bridge can have high winds and special restrictions","Standard bridge rules","Always open",B
MN-034,stateUnique,MN,49,64,15,"What should Minnesota drivers know about winter driving?","Mild winters","Severe winters with ice and snow requiring winter driving skills","Snow is rare","Chains required",B
NY-012,gdlLicensing,NY,49,75,26,"Can New York junior drivers drive on certain expressways?","Yes all expressways","Restricted from some expressways in NYC and Long Island without supervision","No expressway restrictions","Only with instructor",B
NC-026,duiStateLaws,NC,49,68,19,"What is unique about North Carolina DWI penalties?","Standard penalties","Tiered punishment levels based on aggravating and mitigating factors","Always same penalty","Only fines",B
SD-037,stateUnique,SD,49,71,22,"What should South Dakota drivers watch for on rural roads?","Nothing special","Long distances between services and wildlife including bison near parks","Only on highways","Only near reservations",B
TN-035,stateUnique,TN,49,71,22,"What is Tennessee law regarding school buses?","Stop only on same side","Stop in both directions unless divided by barrier or five or more lanes","Slow to 25 mph","Stop only if signaled",B
MD-030,insurance,MD,48,60,12,"What happens if you drive without insurance in Maryland?","Warning only","Fines license suspension and vehicle registration suspension","Points only","Small fine",B
MS-040,stateUnique,MS,48,69,21,"What is unique about Mississippi open container laws?","No open container law","One of few states with no statewide open container ban for passengers","Strict penalties","Same as other states",B
MO-035,stateUnique,MO,48,70,22,"What is Missouri law regarding school buses?","Stop only on same side","Stop in both directions unless divided by median or four or more lanes","Slow to 20 mph","Stop only if signaled",B
MT-030,insurance,MT,48,60,12,"What happens if you drive without insurance in Montana?","Warning only","Fines license suspension and vehicle registration suspension","Points only","Small fine",B
NE-040,stateUnique,NE,48,69,21,"What should Nebraska drivers know about deer?","Not a concern","High deer population with many vehicle collisions especially November","Only in parks","Marked crossings only",B
NC-037,stateUnique,NC,48,66,18,"What should North Carolina mountain drivers know?","No mountains","Blue Ridge Parkway and mountain roads have steep grades and curves","Same as flat roads","Chains required",B
OH-034,stateUnique,OH,48,67,19,"What should Ohio drivers know about lake effect snow?","Not applicable","Lake effect snow from Lake Erie can create sudden severe conditions","Only near Cleveland","Rare occurrence",B
TN-030,insurance,TN,48,60,12,"What happens if you drive without insurance in Tennessee?","Warning only","Fines license suspension and vehicle registration suspension","Points only","Small fine",B
NM-038,stateUnique,NM,47,66,19,"What should New Mexico drivers know about flash floods?","They do not occur","Arroyos can flood suddenly and road dips should be avoided in rain","Only during monsoon","Only in river areas",B
TN-034,stateUnique,TN,47,65,18,"What should Tennessee drivers know about mountain driving?","No mountains","Smoky Mountain roads have steep grades curves and weather changes","Same as flat roads","Chains required",B
MD-011,gdlLicensing,MD,46,58,12,"What happens if a Maryland provisional driver is convicted of a moving violation?","Warning only","2-month license suspension and extended provisional period","Points only","Fine only",B
NE-035,stateUnique,NE,46,68,22,"What is Nebraska law regarding school buses?","Stop only on same side","Stop in both directions unless on divided highway or 4 or more lanes","Slow to 20 mph","Stop only if signaled",B
NV-035,stateUnique,NV,46,68,22,"What is Nevada law regarding school buses?","Stop only on same side","Stop in both directions unless divided by barrier or 3 or more lanes","Slow to 20 mph","Stop only if signaled",B
NJ-030,insurance,NJ,46,58,12,"What happens if you drive without insurance in New Jersey?","Warning only","Significant fines license suspension and community service","Points only","Small fine",B
PA-036,stateUnique,PA,46,67,21,"Are right turns on red permitted in Pennsylvania?","Never in Philadelphia","Yes except in Philadelphia where prohibited unless signed otherwise","Always permitted","Only with arrow",B
VT-006,gdlLicensing,VT,46,65,19,"How many passengers can a Vermont junior driver carry?","No limit","No passengers under 18 for first 3 months then family and 1 other","2 passengers","Only family members",B
WV-018,cellPhone,WV,46,60,14,"What is covered by West Virginia distracted driving law?","Only texting","Using any handheld electronic device to text email or browse","Calls only","All device use",B
MD-024,duiStateLaws,MD,45,64,19,"What is the difference between DUI and DWI in Maryland?","Same offense","DUI is higher BAC impairment while DWI is lower level impairment","DWI is more serious","Different courts",B
MS-038,stateUnique,MS,45,61,16,"What should Mississippi drivers know about coastal driving?","No coastal roads","Hurricane evacuation routes and bridge closures during storms","Always open","No special rules",B
MO-038,stateUnique,MO,45,60,15,"What is unique about Missouri roads in certain areas?","Nothing special","Missouri Route 66 is a historic highway with unique features","All new roads","No rural roads",B
MT-035,stateUnique,MT,45,66,21,"What should Montana drivers know about wildlife?","Not a concern","Large animals including elk deer and moose are common road hazards","Only in parks","Marked crossings only",B
NH-029,insurance,NH,45,60,15,"What happens if an uninsured New Hampshire driver causes an accident?","Nothing","Must pay damages or face license and registration suspension","Small fine only","Points only",B
NM-037,stateUnique,NM,45,65,20,"What should New Mexico drivers know about altitude?","No impact on driving","High altitude can affect vehicle performance and driver alertness","Only in mountains","Same as sea level",B
NY-040,stateUnique,NY,45,64,19,"What is unique about New York HOV lanes?","They do not exist","Some require 2 or 3 occupants and may have reversible directions","Always 2 plus","Only on Long Island",B
OR-034,stateUnique,OR,45,68,23,"What is unique about Oregon gas stations?","Self-service everywhere","Full-service required with some self-serve exceptions in rural areas","Cash only","No pumping restrictions",B
WI-035,stateUnique,WI,45,67,22,"What is Wisconsin law regarding school buses?","Stop only on same side","Stop in both directions unless divided by median or 4 or more lanes","Slow to 25 mph","Stop only if signaled",B
NC-018,cellPhone,NC,44,52,8,"Does North Carolina add points for texting violations?","No","No points but fine increases for subsequent offenses","3 points","5 points",B
PA-038,stateUnique,PA,44,62,18,"What should Pennsylvania mountain drivers know?","No mountains","Steep grades and curves in Appalachian regions require caution","Same as flat roads","Chains required",B
SD-005,gdlLicensing,SD,44,62,18,"What are the restrictions for South Dakota restricted minor's permit holders?","10pm to 5am curfew","Driving only to school work and church with limited passengers","Midnight to 5am","No restrictions",B
TX-017,cellPhone,TX,44,67,23,"Do Texas cities have stricter cell phone laws?","No state law is uniform","Yes many cities including Austin and San Antonio require hands-free","Only Houston","Only rural areas",B
LA-038,stateUnique,LA,43,70,27,"What should Louisiana drivers know about hurricane evacuation?","Not applicable","Contraflow lanes may be activated and evacuation routes are designated","Shelter in place","Only coastal areas affected",B
NM-030,insurance,NM,43,55,12,"What happens if you drive without insurance in New Mexico?","Warning only","Fines community service and possible license suspension","Points only","Small fine",B
NC-034,stateUnique,NC,43,66,23,"What should North Carolina drivers know about hurricanes?","Not applicable","Hurricane evacuation routes and emergency procedures are important","Only coastal areas","Inland areas unaffected",B
OK-040,stateUnique,OK,43,59,16,"What should Oklahoma drivers know about flash flooding?","Not a concern","Flash flooding can occur rapidly in low areas and road dips","Only near rivers","Only in spring",B
PA-026,duiStateLaws,PA,43,64,21,"What is unique about Pennsylvania DUI penalties?","Standard penalties","Three-tier system based on BAC level with different consequences","Only fines","No license suspension",B
TX-006,gdlLicensing,TX,43,62,19,"How many passengers can a Texas provisional driver carry?","No limit","No more than 1 passenger under 21 for first year unless family","2 passengers","Only family members",B
WV-038,stateUnique,WV,43,59,16,"What should West Virginia drivers know about fog?","Not common","Mountain valleys often have dense fog especially in morning","Only in winter","Only near rivers",B
WY-034,stateUnique,WY,43,58,15,"What should Wyoming drivers know about winter driving?","Mild winters","Severe winters with blizzards high winds and road closures","Snow is rare","Chains required",B
MO-034,stateUnique,MO,42,58,16,"What should Missouri drivers know about weather?","Mild climate","Severe weather including tornadoes ice storms and flooding","Only winter snow","Rarely severe",B
NV-040,stateUnique,NV,42,63,21,"What should Nevada drivers know about dust storms?","They do not occur","Pull off road completely and turn off lights during dust storms","Drive through quickly","Only in rural areas",B
NH-017,cellPhone,NH,42,62,20,"Can New Hampshire drivers use phones while stopped?","No","Yes only when vehicle is parked or stopped for traffic control","Only at red lights","Only for emergencies",B
NY-036,stateUnique,NY,42,62,20,"Are right turns on red permitted in New York?","Permitted everywhere","Prohibited in NYC unless sign permits it but allowed elsewhere","Never permitted","Only with arrow",B
PA-030,insurance,PA,42,54,12,"What happens if you drive without insurance in Pennsylvania?","Warning only","3-month license suspension and registration suspension","Points only","Small fine",B
MA-006,gdlLicensing,MA,41,62,21,"How many passengers can a Massachusetts junior operator carry in the first 6 months?","No limit","No passengers under 18 unless family or licensed adult present","1 passenger","Only immediate family",B
MO-026,duiStateLaws,MO,41,64,23,"What is unique about Missouri DWI laws regarding alcohol purchases?","No restriction","A DWI conviction can result in a 2-year ban on alcohol purchases","License suspension only","Fines only",B
MT-038,stateUnique,MT,41,63,22,"What should Montana drivers know about mountain roads?","No mountains","Steep grades switchbacks and limited visibility require caution","All roads are flat","Chains always required",B
WI-038,stateUnique,WI,41,62,21,"What should Wisconsin drivers know about deer?","Not a concern","Very high deer population with many collisions especially fall","Only in forests","Marked crossings only",B
ME-030,insurance,ME,40,52,12,"What happens if you drive without insurance in Maine?","Warning only","Fines license suspension and registration suspension","Points only","Small fine",B
MA-026,duiStateLaws,MA,40,58,18,"What makes Massachusetts OUI laws unique?","Standard laws","Lifetime lookback and Melanie's Law for enhanced penalties","Lenient penalties","No implied consent",B
NM-010,gdlLicensing,NM,40,52,12,"What happens if a New Mexico provisional driver commits a violation?","Warning only","90-day extension of provisional period per violation","Points only","Fine only",B
NY-038,stateUnique,NY,40,55,15,"What should upstate New York drivers know about winter?","Mild winters","Lake effect snow can create severe localized conditions","Snow is rare","Chains required",B
ND-040,stateUnique,ND,40,55,15,"What should North Dakota drivers know about flooding?","Not a concern","Spring flooding can close roads especially along rivers","Only near lakes","Only in cities",B
OK-030,insurance,OK,40,52,12,"What happens if you drive without insurance in Oklahoma?","Warning only","Fines license suspension and registration suspension","Points only","Small fine",B
OK-037,stateUnique,OK,40,58,18,"What should Oklahoma drivers know about the turnpike system?","No toll roads","Extensive turnpike system with PikePass electronic payment","Free for residents","Cash only",B
RI-030,insurance,RI,40,52,12,"What happens if you drive without insurance in Rhode Island?","Warning only","Fines license suspension and registration suspension","Points only","Small fine",B
SC-030,insurance,SC,40,52,12,"What happens if you drive without insurance in South Carolina?","Warning only","Fines license suspension and registration suspension","Points only","Small fine",B
UT-006,gdlLicensing,UT,40,59,19,"How many passengers can a Utah provisional driver carry?","No limit","No passengers for first 6 months unless family then limited","2 passengers","Only family members",B
UT-030,insurance,UT,40,52,12,"What happens if you drive without insurance in Utah?","Warning only","Fines license suspension and registration revocation","Points only","Small fine",B
WV-030,insurance,WV,40,52,12,"What happens if you drive without insurance in West Virginia?","Warning only","Fines license suspension and registration suspension","Points only","Small fine",B
MA-011,gdlLicensing,MA,39,51,12,"What happens if a Massachusetts junior operator commits a moving violation?","Warning only","60-day license suspension and extended restrictions","Points only","Fine only",B
MI-040,stateUnique,MI,39,61,22,"What is the Mackinac Bridge and what should drivers know?","Regular highway bridge","5-mile suspension bridge with possible high wind restrictions","Toll-free crossing","Closed in winter",B
MO-037,stateUnique,MO,39,58,19,"What should Missouri drivers know about the Kansas City and St. Louis areas?","Standard driving","Complex highway systems with heavy congestion and tollways","No tolls","No special concerns",B
NE-034,stateUnique,NE,39,57,18,"What should Nebraska drivers know about severe weather?","Mild climate","Severe thunderstorms tornadoes and blizzards are possible","Only winter storms","Rarely severe",B
NM-040,stateUnique,NM,39,60,21,"What should New Mexico drivers know about wildlife?","Not a concern","Large animals including elk and deer are common road hazards","Only in parks","Marked crossings only",B
OH-040,stateUnique,OH,39,60,21,"What should Ohio drivers know about deer?","Not a concern","High deer population with many collisions especially in fall","Only in rural areas","Marked crossings only",B
OR-016,cellPhone,OR,39,52,13,"What are the penalties for cell phone violations in Oregon?","25 dollars","Up to 1000 dollars for first and 2500 for subsequent","100 dollars","Warning first",B
RI-026,duiStateLaws,RI,39,61,22,"What is unique about Rhode Island DUI penalties?","Standard penalties","Hardship license may be available after portion of suspension","No hardship option","Always full suspension",B
VT-040,stateUnique,VT,39,61,22,"What should Vermont drivers know about fall foliage season?","No impact on driving","Heavy tourist traffic on scenic routes especially on weekends","Roads close for leaves","Lower speed limits",B
WA-005,gdlLicensing,WA,39,54,15,"What are the nighttime restrictions for Washington intermediate drivers?","10pm to 5am","1am to 5am for first 6 months then 1am to 5am until 18","Midnight to 5am","9pm to 6am",B
WV-010,gdlLicensing,WV,39,51,12,"What happens if a West Virginia intermediate driver violates restrictions?","Warning only","License suspension or delay in advancing to Level 3","Points only","Fine only",B
WI-026,duiStateLaws,WI,39,53,14,"When does OWI become a felony in Wisconsin?","Second offense","Third offense","Fourth offense","Fifth offense within 5 years or with prior felony OWI",D
LA-040,stateUnique,LA,38,58,20,"What is unique about Louisiana traffic terms?","Standard terms only","Parish instead of county and unique local traffic patterns","Different road signs","Metric measurements",B
MS-037,stateUnique,MS,38,59,21,"What should Mississippi drivers know about wildlife?","Not a concern","Deer collisions are common especially during hunting season","Only in refuges","Marked crossings only",B
NH-028,insurance,NH,38,64,26,"Does New Hampshire require liability insurance?","Yes like all states","No but financial responsibility required if involved in accident","Only for new cars","Only for financed vehicles",B
NJ-034,stateUnique,NJ,38,58,20,"What should New Jersey drivers know about jughandles?","They do not exist","Jughandles are used for left turns from right side of road","Standard left turns","Only in South Jersey",B
NJ-038,stateUnique,NJ,38,56,18,"What should New Jersey drivers know about toll roads?","No toll roads","Extensive toll road system with E-ZPass and cash options","Free for residents","Cash only",B
ND-010,gdlLicensing,ND,38,50,12,"What happens if a North Dakota restricted driver commits a violation?","Warning only","Extended restricted period and possible suspension","Points only","Fine only",B
OK-034,stateUnique,OK,38,56,18,"What should Oklahoma drivers know about severe weather?","Mild climate","Oklahoma is in Tornado Alley with frequent severe storms","Only spring storms","Tornadoes are rare",B
OR-028,insurance,OR,38,60,22,"What coverage is unique to Oregon?","Nothing special","Personal Injury Protection required in addition to liability","Only liability","Comprehensive required",B
SD-011,gdlLicensing,SD,38,50,12,"What happens if a South Dakota minor driver commits violations?","Warning only","License suspension and possible delay in advancing","Points only","Fine only",B
VA-034,stateUnique,VA,38,55,17,"What should Virginia drivers know about HOV lanes?","They do not exist","HOV lanes require 2 or more occupants during peak hours","Always open","HOT lanes only",B
KY-006,gdlLicensing,KY,37,49,12,"How many passengers can a Kentucky intermediate license holder carry?","No limit","1 unrelated passenger under 20 for first 6 months","2 passengers","Only family",B
LA-006,gdlLicensing,LA,37,49,12,"How many passengers can a Louisiana intermediate license holder carry?","No limit","1 passenger under 21 for first year unless family","2 passengers","Only family",B
MD-034,stateUnique,MD,37,64,27,"What should Maryland drivers know about the Baltimore-Washington area?","Standard driving conditions","Heavy congestion and aggressive driving requiring extra patience","No special concerns","Lower speed limits",B
MI-008,gdlLicensing,MI,37,56,19,"Who must supervise a Michigan permit holder?","Any licensed driver","Licensed parent guardian or designated adult 21 or older","Parent only","Any adult",B
MS-024,duiStateLaws,MS,37,59,22,"What is Mississippi implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
MT-024,duiStateLaws,MT,37,59,22,"What is Montana implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
NE-024,duiStateLaws,NE,37,59,22,"What is Nebraska implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
NV-024,duiStateLaws,NV,37,59,22,"What is Nevada implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
NM-024,duiStateLaws,NM,37,59,22,"What is New Mexico implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
NM-034,stateUnique,NM,37,57,20,"What should New Mexico drivers know about dust storms?","They do not occur","Pull off road turn off lights and wait during dust storms","Drive through slowly","Only in desert areas",B
NC-006,gdlLicensing,NC,37,56,19,"How many passengers can a North Carolina limited provisional driver carry?","No limit","1 passenger under 21 unless family or for work or school","2 passengers","Only family members",B
ND-012,gdlLicensing,ND,37,56,19,"What is unique about North Dakota permit age?","Same as most states","One of the youngest at 14 reflecting rural driving needs","Oldest in nation","No minimum age",B
ND-024,duiStateLaws,ND,37,59,22,"What is North Dakota implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
OK-024,duiStateLaws,OK,37,59,22,"What is Oklahoma implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
RI-038,stateUnique,RI,37,56,19,"What should Rhode Island drivers know about coastal driving?","No coastal roads","Coastal areas may have fog and tourist traffic in summer","Always clear","No special concerns",B
SC-035,stateUnique,SC,37,59,22,"What is South Carolina law regarding school buses?","Stop only on same side","Stop in both directions unless divided by median or barrier","Slow to 25 mph","Stop only if signaled",B
SD-040,stateUnique,SD,37,57,20,"What should South Dakota drivers know about open range?","Not applicable","Livestock may be on unfenced roads and drivers must yield","Only on private land","Fenced everywhere",B
UT-037,stateUnique,UT,37,58,21,"What should Utah drivers know about wildlife?","Not a concern","Deer and elk are common road hazards especially in canyons","Only in parks","Marked crossings only",B
UT-040,stateUnique,UT,37,54,17,"What is unique about Utah Express Lanes?","They do not exist","HOV and express toll lanes available on major highways","Free for all","Trucks only",B
VT-024,duiStateLaws,VT,37,59,22,"What is Vermont implied consent law?","Consent to searches","Operating a vehicle constitutes consent to chemical testing","Consent to field tests","Consent to blood only",B
VA-008,gdlLicensing,VA,37,56,19,"Who must supervise a Virginia permit holder?","Any licensed driver","Licensed driver 21 or older or family member 18 or older","Parent only","Any adult",B
VA-035,stateUnique,VA,37,59,22,"What is Virginia law regarding school buses?","Stop only on same side","Stop in both directions unless divided by barrier or median","Slow to 25 mph","Stop only if signaled",B
WI-008,gdlLicensing,WI,37,56,19,"Who must supervise a Wisconsin permit holder?","Any licensed driver","Licensed driver 21 or older or licensed spouse or parent","Parent only","Any adult",B
ME-035,stateUnique,ME,36,58,22,"What is Maine law regarding school buses?","Stop only on same side","Stop in both directions unless divided by physical barrier","Slow to 20 mph","Stop only if signaled",B
MN-030,insurance,MN,36,48,12,"What happens if you drive without insurance in Minnesota?","Warning only","License revocation and vehicle plate impoundment","Points only","Small fine",B
MN-040,stateUnique,MN,36,57,21,"What should Minnesota drivers know about deer?","Not a concern","High deer population with many collisions especially fall","Only in parks","Marked crossings only",B
NE-038,stateUnique,NE,36,54,18,"What is unique about driving in western Nebraska?","Same as everywhere","Long distances between services and changeable weather","Lower speed limits","More traffic",B
NH-034,stateUnique,NH,36,57,21,"What should New Hampshire drivers know about moose?","They are rare","Moose collisions are a serious hazard especially at night","Only in parks","Marked crossings only",B
SD-038,stateUnique,SD,36,59,23,"What is unique about driving near Mount Rushmore?","No special concerns","Tourist traffic and winding mountain roads require patience","Closed to public","Lower speed limits only",B
VT-034,stateUnique,VT,36,51,15,"What should Vermont drivers know about winter driving?","Mild winters","Severe winters with snow ice and limited visibility","Snow is rare","Chains required",B
WA-018,cellPhone,WA,36,56,20,"What makes Washington cell phone law strict?","Same as other states","Includes all personal electronic devices not just phones","Only phones covered","No unique features",B
WA-030,insurance,WA,36,48,12,"What happens if you drive without insurance in Washington?","Warning only","Fines license suspension and vehicle impoundment","Points only","Small fine",B
FL-024,duiStateLaws,FL,35,47,12,"What happens if you refuse a chemical test in Florida?","No penalty","License suspension and refusal used as evidence","Warning only","Fine only",B
MS-017,cellPhone,MS,35,50,15,"Does Mississippi allow voice-to-text while driving?","No","Yes voice commands and voice-to-text are permitted","Only hands-free","Only for adults",B
MS-030,insurance,MS,35,47,12,"What happens if you drive without insurance in Mississippi?","Warning only","Fines license suspension and reinstatement fees","Points only","Small fine",B
NJ-016,cellPhone,NJ,35,48,13,"What are the penalties for cell phone violations in New Jersey?","25 dollars","200 to 400 first then 400 to 600 then 600 to 800","100 dollars","Warning first",B
NC-040,stateUnique,NC,35,56,21,"What should North Carolina drivers know about deer?","Not a concern","Deer collisions are common especially in fall and winter","Only in mountains","Marked crossings only",B
OR-003,gdlLicensing,OR,35,43,8,"How many hours of supervised driving practice are required in Oregon?","30 hours","50 hours","100 hours with parent or 50 with instructor","40 hours",C
VT-038,stateUnique,VT,35,56,21,"What should Vermont drivers know about moose?","They are rare","Moose are a serious collision hazard especially at night","Only in parks","Marked crossings only",B
VA-040,stateUnique,VA,35,50,15,"What should Virginia drivers watch for in rural areas?","Nothing special","Deer especially in fall and agricultural equipment","Only near parks","Only at night",B
WA-034,stateUnique,WA,35,57,22,"What should Washington drivers know about mountain passes?","No mountains","Winter conditions may require chains and passes may close","Chains always required","Never closes",B
WV-011,gdlLicensing,WV,35,53,18,"What must West Virginia teens complete for a Level 2 license?","Nothing additional","Driver education 50 hours practice and pass road test","Only written test","Only vision test",B
ME-011,gdlLicensing,ME,34,46,12,"What happens if a Maine intermediate driver gets a traffic conviction?","Warning only","3-month license suspension for each conviction","Points only","Fine only",B
MA-030,insurance,MA,34,46,12,"What happens if you drive without insurance in Massachusetts?","Warning only","License and registration revocation plus fines","Points only","Small fine",B
MI-018,cellPhone,MI,34,54,20,"Can Michigan drivers use phones at red lights?","Yes when stopped","No cannot hold or use phone manually even when stopped","Only for emergencies","Only hands-free",B
MI-028,insurance,MI,34,58,24,"What is unique about Michigan auto insurance?","Standard coverage","Unlimited or capped PIP coverage options since 2020 reform","No PIP required","State provides insurance",B
MI-030,insurance,MI,34,46,12,"What happens if you drive without insurance in Michigan?","Warning only","License and registration suspension plus fines","Points only","Small fine",B
NV-006,gdlLicensing,NV,34,55,21,"How many passengers can a Nevada restricted driver carry?","No limit","No passengers under 18 for first 6 months unless family","1 passenger","Only immediate family",B
NH-040,stateUnique,NH,34,56,22,"What should New Hampshire drivers know about fall foliage season?","No impact on driving","Heavy tourist traffic on scenic routes requires patience","Roads close for leaves","Lower speed limits",B
NY-037,stateUnique,NY,34,52,18,"What should drivers know about New York toll roads?","No toll roads","Extensive toll system with E-ZPass and tolls by mail","Cash only","Free for residents",B
OR-006,gdlLicensing,OR,34,55,21,"How many passengers can an Oregon provisional driver carry in first 6 months?","No limit","No passengers under 20 for first 6 months unless family","1 passenger","Only immediate family",B
OR-030,insurance,OR,34,46,12,"What happens if you drive without insurance in Oregon?","Warning only","Fines license suspension and SR-22 requirement","Points only","Small fine",B
