questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
CT-039,stateUnique,CT,"What is the penalty for driving while your license is suspended for OUI in Connecticut?","A fine is the only penalty for driving while suspended","Mandatory minimum 30 days in jail for the offense","Points are added to record but no jail time required","Community service is required but no jail time",B
DE-034,stateUnique,DE,"What happens if a permit holder is caught not wearing a seatbelt in Delaware?","A written warning is issued for first seatbelt offense","Ticket is issued and permit may be suspended","A fine is the only penalty for not wearing seatbelt","Points are added to record but no permit suspension",B
GA-003,gdlLicensing,GA,"What is Joshua's Law in Georgia?","Joshua's Law is a mandatory insurance requirement","Driver education requirement for all teens under 18","Joshua's Law is a zero tolerance DUI law for teens","Joshua's Law is a cell phone restriction for teens",B
GA-004,gdlLicensing,GA,"How many hours of supervised driving practice are required for Georgia teens?","30 hours of supervised practice are required in state","40 hours with 6 at night are required in Georgia","50 hours of supervised practice are required in state","25 hours of supervised practice are required in state",B
GA-022,duiStateLaws,GA,"When does DUI become a felony in Georgia?","DUI becomes a felony starting with the second offense","DUI becomes a felony starting with the third offense","Fourth offense within 10 years is a felony DUI","DUI is never charged as a felony offense in Georgia",C
HI-037,stateUnique,HI,"What is unique about traffic signs in Hawaii?","All traffic signs in Hawaii are written in Hawaiian","Many signs include Hawaiian place names and language","Traffic signs are green instead of blue in Hawaii","Traffic signs use metric measurements in Hawaii",B
ID-024,duiStateLaws,ID,"What is required for all DUI offenders in Idaho?","Only community service is required for DUI offenders","Ignition interlock device installation is required","Only alcohol education classes are required in Idaho","Only weekend jail time is required for DUI offenders",B
IL-029,insurance,IL,"What must Illinois drivers present if asked by police?","Only vehicle registration must be presented to police","Proof of insurance and registration must be presented","Only driver license must be presented to police","Nothing must be presented until appearing in court",B
IA-003,gdlLicensing,IA,"How many hours of supervised driving practice are required in Iowa?","20 hours with 2 at night are required in Iowa","30 hours of supervised practice are required in Iowa","40 hours of supervised practice are required in Iowa","50 hours of supervised practice are required in Iowa",A
IA-005,gdlLicensing,IA,"How many additional supervised hours are required for an Iowa full license?","No additional hours are required for full Iowa license","10 hours with 2 at night are required for full license","20 additional hours are required for full Iowa license","5 additional hours are required for full Iowa license",B
MA-027,insurance,MA,"Is Massachusetts an at-fault or no-fault insurance state?","Massachusetts is a no-fault insurance state only","Massachusetts is an at-fault insurance state only","Massachusetts uses a choice insurance system","Hybrid system with no-fault elements in Massachusetts",D
MI-006,gdlLicensing,MI,"How many passengers can a Michigan Level 2 driver carry?","No passenger limits apply for Level 2 drivers","1 passenger unless they are immediate family members","A maximum of 2 passengers may ride in the vehicle","Only immediate family members may ride in vehicle",B
NH-026,duiStateLaws,NH,"When does DWI become a felony in New Hampshire?","DWI becomes a felony starting with the second offense","DWI becomes a felony starting with the third offense","Fourth offense within 10 years is a felony DWI","DWI is never charged as a felony in New Hampshire",C
NM-017,cellPhone,NM,"Are school zones treated differently under New Mexico cell phone law?","No the same rules apply everywhere in New Mexico","Yes fines are doubled in school zones statewide","Fines are tripled in school zones in New Mexico","License suspension applies in school zones only",B
ND-030,insurance,ND,"What happens if you drive without insurance in North Dakota?","A written warning is issued for the first offense","Fines and license suspension may be imposed","Points are added to record but no suspension","A small fine is the only penalty for first offense",B
PA-018,cellPhone,PA,"What happens to a Pennsylvania driver under 18 who uses a device?","A fine is the only penalty for device use violation","License suspension is possible for device violations","A written warning is issued for first device offense","Points are added to record but no suspension",B
SC-011,gdlLicensing,SC,"What is unique about South Carolina's early nighttime restriction?","South Carolina uses the same restrictions as other states","Starts at 6pm for first 6 months then moves to 8pm","Restriction is always midnight for all teen drivers","No nighttime restrictions apply in South Carolina",B
TN-014,cellPhone,TN,"What is Tennessee cell phone law for all drivers?","No restrictions on cell phone use exist for drivers","Handheld phones are banned in most areas of state","Only texting is banned for all drivers in Tennessee","Cell phone restrictions only apply in school zones",B
UT-020,duiStateLaws,UT,"What makes Utah's BAC limit unique?","Utah BAC limit is the same as all other US states","Lowest BAC limit in the nation at 0.05 percent","Utah has the highest BAC limit in the nation","Utah has no specific BAC limit for impaired driving",B
WA-026,duiStateLaws,WA,"When does DUI become a felony in Washington?","DUI becomes a felony starting with the second offense","DUI becomes a felony starting with the third offense","Fourth offense within 10 years is a felony DUI","DUI is never charged as a felony in Washington",C
WI-018,cellPhone,WI,"What is unique about Wisconsin probationary driver cell phone rules?","Same rules as adult drivers apply to probationary","Complete ban on all cell phone use for probationary","Hands-free phone use is allowed for probationary","Only GPS use is banned for probationary drivers",B
AZ-001,gdlLicensing,AZ,"At what age can you obtain an instruction permit in Arizona?","You can obtain an instruction permit at age 14","You can obtain an instruction permit at age 15","You can obtain a permit at 15 years and 6 months","You can obtain an instruction permit at age 16",C
AZ-016,cellPhone,AZ,"Can you use your phone at a red light in Arizona?","No phone use is never permitted while driving","Yes phone use is permitted when stopped at light","Phone use is only permitted for emergency calls","Only hands-free phone use is permitted at lights",B
AR-006,gdlLicensing,AR,"How many unrelated minor passengers can an intermediate license holder have in Arkansas?","None without proper adult supervision in vehicle","One unrelated minor passenger is permitted","Two unrelated minor passengers are permitted","Unlimited unrelated minor passengers are permitted",A
CA-033,stateUnique,CA,"What is unique about California driver's licenses for those under 21?","California licenses for under 21 are printed in pink","They are vertical format with photo on right side","California licenses for under 21 have a red border","Same format as adult licenses with no differences",B
CO-007,gdlLicensing,CO,"What are the passenger restrictions from 6 to 12 months with a minor license in Colorado?","No passengers under 21 are permitted during period","One passenger under 21 except siblings permitted","Two passengers under 21 are permitted during period","No passenger restrictions apply during this period",B
DE-023,duiStateLaws,DE,"What happens if you refuse a chemical test in Delaware?","No penalty results from refusing a chemical test","One-year license suspension for refusing the test","A written warning is issued for refusing the test","A fine is the only penalty for refusing the test",B
FL-026,duiStateLaws,FL,"Can prescription drugs lead to a DUI charge in Florida?","No only alcohol can lead to a DUI charge in Florida","Yes if they impair your ability to drive safely","Only illegal drugs can lead to DUI charges in Florida","Only prescription drugs combined with alcohol count",B
GA-022,duiStateLaws,GA,"What is Georgia's implied consent law?","Implied consent refers to consent for vehicle searches","Automatic consent to BAC testing when operating vehicle","Implied consent refers to consent for license suspension","Implied consent refers to consent for vehicle impound",B
HI-031,stateUnique,HI,"When must headlights be used in Hawaii?","Headlights must be used from sunset to sunrise only","Sunset to sunrise plus anytime windshield wipers on","Headlights are only required when driving in rain","Headlights only required on highways at night",B
IL-032,stateUnique,IL,"What is Illinois Scott's Law?","Scott's Law is a school zone speed enforcement law","Move Over law requiring drivers yield to emergencies","Scott's Law is a teen driving curfew restriction","Scott's Law is a DUI checkpoint authorization law",B
MD-006,gdlLicensing,MD,"How many passengers can a Maryland provisional driver carry in the first 5 months?","No passenger limits apply for provisional drivers","No passengers under 18 unless they are family","A maximum of 1 passenger may ride in the vehicle","Only immediate family members may ride in vehicle",B
MN-023,duiStateLaws,MN,"What happens if you refuse a BAC test in Minnesota?","A written warning is issued for refusing the test","Criminal charges may be filed for test refusal","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
MO-006,gdlLicensing,MO,"How many passengers can a Missouri intermediate driver carry in the first 6 months?","No passenger limits apply for intermediate drivers","1 passenger under 19 unless they are family members","A maximum of 2 passengers may ride in the vehicle","Only immediate family members may ride in vehicle",B
NE-010,gdlLicensing,NE,"What unique permit does Nebraska offer for younger teens?","No unique permits are offered for younger teens","School permit available at age 14 and 2 months","Farm permit is available at age 12 in Nebraska","Hardship permit is available at age 13 in Nebraska",B
NV-005,gdlLicensing,NV,"What are the nighttime restrictions for Nevada restricted license holders?","Curfew is from 10pm to 5am for entire restricted period","10pm to 5am curfew applies for first 6 months only","Curfew is from midnight to 5am for restricted holders","Curfew is from 11pm to 6am for restricted holders",B
NM-018,cellPhone,NM,"Can New Mexico drivers use phones while legally stopped?","No phone use is prohibited at all times while driving","Yes phone use permitted when lawfully parked or stopped","Phone use is only permitted at red lights in state","Phone use is only permitted for emergency calls",B
ND-006,gdlLicensing,ND,"How many passengers can a North Dakota restricted driver carry?","No passenger limits apply for restricted drivers","No more passengers than available seat belts in car","A maximum of 1 passenger may ride in the vehicle","Only immediate family members may ride in vehicle",B
PA-009,gdlLicensing,PA,"Is driver education required in Pennsylvania?","No driver education is completely optional in state","Not required but reduces supervised hours to 50","Driver ed only required for permit holders under 17","Driver ed is only required after traffic violations",B
SC-009,gdlLicensing,SC,"Is driver education required in South Carolina?","No driver education is completely optional in state","Not required but can reduce permit holding time","Driver ed only required for permit holders under 16","Driver ed is only required after traffic violations",B
WY-003,gdlLicensing,WY,"How many hours of supervised driving practice are required in Wyoming?","20 hours of supervised practice are required","50 hours of supervised practice are required","40 hours of supervised practice are required","No specific hour requirement exists in Wyoming",D
WY-011,gdlLicensing,WY,"What is unique about Wyoming's permit holding period?","Wyoming permit period is the same as other states","One of the shortest permit periods at only 10 days","Wyoming has the longest permit period in the nation","Wyoming has no minimum permit holding period",B
U-093,safeDriving,ALL,"What should you do if you start to hydroplane?","Brake firmly to stop the vehicle as quickly as possible","Steer sharply to regain traction on the road surface","Accelerate to power through the hydroplaning situation","Ease off gas and steer straight to regain control",D
CA-012,gdlLicensing,CA,"Is alcohol allowed in the vehicle of a teen driver in California?","Yes if the alcohol container is properly sealed","No alcohol in any form open or sealed is allowed","Alcohol is only permitted if stored in the trunk","Yes alcohol is permitted with parent present in car",B
FL-033,stateUnique,FL,"What is Florida's Family Purpose Doctrine?","Parents choose insurance coverage for teen drivers","Parents can be held liable for teen driver actions","Parents must supervise all teen driving activities","Parents must sign permit application for teen only",B
FL-039,stateUnique,FL,"Can police search your phone during a texting stop in Florida?","Yes police can automatically search your phone","No you can decline and police need a warrant first","Police can search only with admission of guilt","Police can search phones only for repeat offenders",B
HI-028,insurance,HI,"What type of insurance is required in no-fault Hawaii?","Only liability insurance is required in Hawaii","Personal Injury Protection coverage is required","Only collision insurance is required in Hawaii","Only comprehensive insurance is required in Hawaii",B
ID-007,gdlLicensing,ID,"Who must supervise an Idaho permit holder while driving?","Any driver with a valid license may supervise","Only a parent or guardian may supervise in Idaho","Licensed driver 21 or older in front seat required","A licensed driver 18 or older must supervise",C
IL-008,gdlLicensing,IL,"What are the weekend curfew hours for Illinois teen drivers?","Curfew is from 10pm to 6am on weekend nights","11pm to 6am curfew applies Friday and Saturday","Curfew is from midnight to 5am on weekend nights","No weekend curfew applies to Illinois teen drivers",B
KY-027,insurance,KY,"Is Kentucky an at-fault or no-fault insurance state?","Kentucky is a no-fault insurance state only","Kentucky is an at-fault insurance state only","Kentucky uses a choice no-fault insurance system","Kentucky uses a hybrid insurance system",C
NJ-028,insurance,NJ,"What coverage options does New Jersey offer?","Only standard coverage is available in New Jersey","Basic or Standard policy options are available","Only liability coverage is available in New Jersey","Only comprehensive coverage is available in state",B
NY-029,insurance,NY,"Must New York drivers carry proof of insurance?","Proof is only required at vehicle registration time","Yes at all times while operating a motor vehicle","Proof is only required for newly purchased vehicles","Electronic verification system eliminates need for proof",B
OH-010,gdlLicensing,OH,"What happens if an Ohio probationary driver is convicted of a moving violation?","A written warning is issued for first moving violation","6-month license suspension for moving conviction","Points are added to record but no suspension","A fine is the only penalty for moving violation",B
OH-018,cellPhone,OH,"What happens to an Ohio driver under 18 who violates the cell phone ban?","A fine is the only penalty for cell phone violation","60-day license suspension for cell phone violation","A written warning is issued for first violation","Points are added to record but no suspension",B
OH-038,stateUnique,OH,"What should Ohio drivers know about toll roads?","Ohio does not have any toll roads in the state","Ohio Turnpike uses E-ZPass and cash toll payment","Toll roads in Ohio are free for Ohio residents","Only commercial trucks pay tolls on Ohio roads",B
OR-010,gdlLicensing,OR,"Is driver education required in Oregon?","No driver education is completely optional in state","Yes ODOT-approved course required for under 18","Driver ed only required for permit holders under 16","Driver ed is only required after traffic violations",B
RI-010,gdlLicensing,RI,"What happens if a Rhode Island provisional driver commits a violation?","A written warning is issued for first violation","6-month license suspension for violation offense","Points are added to record but no suspension","A fine is the only penalty for the violation",B
UT-036,stateUnique,UT,"Are right turns on red permitted in Utah?","Right turns on red are never permitted in Utah","Yes after complete stop unless signs prohibit turn","Right turns only permitted outside Salt Lake City","Right turns on red only permitted with green arrow",B
WI-011,gdlLicensing,WI,"How does driver education affect Wisconsin permit eligibility?","Driver education has no effect on permit eligibility","Allows permit at age 15.5 instead of age 16","Driver education waives supervised practice hours","Driver education waives the road test requirement",B
U-081,rulesOfRoad,ALL,"What does a double solid yellow line mean?","Double yellow lines mean pass with extra caution","No passing is permitted in either direction","Double yellow means passing is allowed if safe","Double yellow lines indicate a one-way road",B
U-097,safeDriving,ALL,"What is the proper way to enter a curve?","Brake while you are in the curve to slow down","Maintain a constant speed throughout the curve","Speed up before entering the curve for momentum","Slow before the curve then accelerate through it",D
U-139,specialSituations,ALL,"What should you do if caught in a dust storm?","Speed through the dust storm as quickly as possible","Use high beams to see better through dust storm","Pull completely off road and stop the vehicle","Open windows to equalize pressure in the vehicle",C
AK-012,gdlLicensing,AK,"What happens if a provisional license holder gets a traffic violation in Alaska?","A written warning is issued for first violation","The 6-month restriction period restarts completely","Only a fine is assessed for the traffic violation","Nothing unless the violation is a DUI offense",B
AK-029,insurance,AK,"What can happen if you drive without insurance in Alaska?","A written warning is issued for the first offense","500 dollar fine and possible license suspension","Points are added to your license record only","No penalty applies for the first offense only",B
AR-034,stateUnique,AR,"Can you use GPS navigation apps while driving in Arkansas?","No all phone use is banned while driving in state","Yes GPS and navigation apps are allowed while driving","GPS apps only permitted with voice commands active","GPS apps only permitted if device is mounted",B
AR-040,stateUnique,AR,"What restriction applies to all teen drivers regardless of license type in Arkansas?","Must have an adult in car at all times while driving","Cannot use cell phones except for emergencies only","Cannot drive on highways until reaching age 18","Must display new driver sign on vehicle at all times",B
FL-022,duiStateLaws,FL,"What happens for a DUI conviction if you're under 21 in Florida?","A written warning is issued for first offense only","License revocation until the driver reaches age 21","Same penalties as adult drivers apply to under 21","A fine is the only penalty for under 21 DUI",B
FL-025,duiStateLaws,FL,"Are fines doubled for texting violations in school zones in Florida?","No the same fine applies regardless of location","Yes school and work zone fines are higher amount","Fines are only doubled for repeat offenders","Fines only doubled for commercial vehicle drivers",B
HI-034,stateUnique,HI,"How should you handle right turns at red lights in Hawaii?","Right turns at red lights are always permitted","Permitted unless a sign specifically prohibits turn","Right turns at red lights are never permitted","Right turns only permitted with a green arrow",B
ID-035,stateUnique,ID,"What is Idaho's law regarding school bus stops?","Drivers must stop only when on same side of road","Stop in both directions unless divided by median","Drivers should slow to 15 mph but need not stop","Stop only when children are visible near the bus",B
IL-005,gdlLicensing,IL,"How long do passenger restrictions last for new Illinois teen drivers?","Passenger restrictions last for 6 months only","12 months or until driver reaches age 18","Passenger restrictions last for 18 months only","Passenger restrictions last until driver is 21",B
IL-028,insurance,IL,"Must Illinois drivers carry liability insurance?","Only for newly purchased vehicles in Illinois","Yes minimum liability coverage is required by law","Only for vehicles that are financed by a lender","Insurance is optional for Illinois drivers",B
IA-014,cellPhone,IA,"Does Iowa's teen cell phone ban include hands-free devices?","No hands-free device use is allowed for teens","Yes all electronic devices are banned for teens","Only Bluetooth devices are banned for teen drivers","Only texting apps are banned for teen drivers",B
LA-011,gdlLicensing,LA,"What must Louisiana parents sign for their teen to get a permit?","Nothing is required to be signed by parents","Consent form accepting liability for teen driver","An insurance waiver must be signed by parents","A school verification form must be signed",B
MD-001,gdlLicensing,MD,"At what age can a Maryland teen obtain a learner's permit?","A Maryland teen can obtain a permit at age 14","A teen can obtain permit at 15 years 9 months","A Maryland teen can obtain a permit at age 16","A Maryland teen can obtain a permit at age 15",B
MI-001,gdlLicensing,MI,"At what age can a Michigan teen obtain a learner's permit?","A Michigan teen can obtain a permit at age 14","A teen can obtain permit at 14 years 9 months","A Michigan teen can obtain a permit at age 15","A Michigan teen can obtain a permit at age 16",B
MS-014,cellPhone,MS,"What is Mississippi cell phone law for adult drivers?","No restrictions on cell phone use for adult drivers","Texting while driving is prohibited for all drivers","Hands-free devices are required for adult drivers","A complete ban on phone use applies to all drivers",B
MO-012,gdlLicensing,MO,"Can Missouri parents add or modify their teen's driving restrictions?","No only state rules apply to teen driving","Yes by signing appropriate forms with the state","Parents can only modify restrictions first 30 days","Parents can only modify restrictions after violations",B
MT-014,cellPhone,MT,"What is Montana cell phone law for all drivers?","No restrictions on cell phone use for drivers","Texting while driving is prohibited for all drivers","Hands-free devices are required for all drivers","A complete ban on phone use applies to all drivers",B
NV-010,gdlLicensing,NV,"What happens if a Nevada teen driver violates restrictions?","A written warning is issued for first violation","30-day license suspension for restriction violation","Points are added to record but no suspension","A fine is the only penalty for the violation",B
NY-004,gdlLicensing,NY,"What type of license do New York teens receive first?","New York teens receive a full license first","Junior license with driving restrictions issued first","Provisional license is issued to New York teens","Learner license is issued to New York teens first",B
NY-010,gdlLicensing,NY,"Is driver education required in New York?","No driver education is completely optional in state","5-hour pre-licensing course is required for all","Full driver education course is required for all","Driver education only required for those under 17",B
PA-010,gdlLicensing,PA,"What happens if a Pennsylvania junior driver violates restrictions?","A written warning is issued for first violation","90-day license suspension for restriction violation","Points are added to record but no suspension","A fine is the only penalty for the violation",B
PA-017,cellPhone,PA,"Does Pennsylvania add points for texting violations?","No points are added to driving record for texting","No points for texting violations in Pennsylvania","3 points are added to record for texting violation","5 points are added to record for texting violation",B
